model,condition,seed,f1,precision,recall,bal_acc,fpr,fnr,tn,fp,fn,tp,flows_sec
RoBERTa-LoRA,SD_unsw,42,0.9834,0.9842,0.9825,0.9834,0.0158,0.0175,14763,237,262,14738,
RoBERTa-LoRA,CD_unsw2cic,42,0.214,0.2272,0.2023,0.2572,0.6879,0.7977,15604,34396,39886,10114,269.0
