model,condition,seed,f1,precision,recall,bal_acc,fpr,fnr,tn,fp,fn,tp,flows_sec,train_source
RoBERTa-LoRA-full,SD_unsw,42,0.9948,0.9925,0.9971,0.9948,0.0075,0.0029,14887,113,43,14957,269,UNSW
RoBERTa-LoRA-full,CD_unsw2cic,42,0.6205,0.5207,0.7677,0.5305,0.7067,0.2323,14665,35335,11615,38385,269,UNSW
