model,f1,precision,recall,fpr,fnr,tn,fp,fn,tp
RandomForest,0.9973,0.9954,0.9993,0.0046,0.0007,14931,69,11,14989
XGBoost,0.9973,0.9952,0.9995,0.0048,0.0005,14928,72,8,14992
